Valley;Station;Latitude;Longitude;Altitude;Ntot
Ossau;Josbaig;43.2642616;-0.7114511;167;248609.425365
Ossau;Le-Hourcq;43.4041189;-0.8319626;157;54624.577619
Ossau;Bager;43.124847412109375;-0.5928854942321777;390;49567.955290
Ossau;Gabas;42.88468551635742;-0.4300679862499237;1336;19447.309837
Ossau;Artouste;42.8977674;-0.3956568;1620;478.635834
Luz;Laveyron;45.2023158;4.8144436;157;236612.655557
Luz;Ibos;42.9989;-0.4175;936;234478.344975
Luz;Gedre-Bas;42.78716;0.01888;1545;133448.048305
Luz;Papillon;43.2269;1.2877;307;56786.692205
Luz;Peguere;42.9183829;1.3892696;1126;1458.849977